Gender,Major,Program,GPA
Male,B.Tech,CSE,6.89
Male,MS,ECE,7.77
Male,MS,CND,9.73
Male,B.Tech,ECE,5.82
Male,MS,ECE,8.61
Male,B.Tech,CHD,7.02
Male,B.Tech,ECE,6.15
Male,B.Tech,ECE,6.95
Female,MS,CSE,7.02
Male,MS,CSE,7.58
Female,B.Tech,ECE,6.95
Male,B.Tech,ECE,5.45
Male,B.Tech,CND,7.51
Male,B.Tech,CND,6.04
Male,B.Tech,CHD,5.55
Male,B.Tech,CSE,5.92
Male,B.Tech,CND,9.18
Male,PhD,CHD,7.31
Male,B.Tech,CSE,7.44
Male,B.Tech,ECE,6.25
Male,B.Tech,CSE,6.65
Male,MS,CSE,8.42
Male,MS,CND,8.39
Female,MS,CHD,7.52
Male,B.Tech,CSE,5.64
Female,MS,ECE,8.44
Male,B.Tech,CND,7.55
Male,B.Tech,ECE,6.72
Female,B.Tech,CSE,7.44
Female,B.Tech,CSE,6.55
Male,PhD,ECE,7.89
Male,MS,CND,8.0
Female,B.Tech,ECE,7.52
Female,B.Tech,ECE,7.31
Male,B.Tech,ECE,7.51
Male,B.Tech,CHD,6.24
Male,B.Tech,ECE,8.58
Male,PhD,CHD,8.13
Male,PhD,ECE,8.24
Male,B.Tech,CSE,5.68
Male,MS,CND,7.86
Female,B.Tech,CND,7.53
Male,B.Tech,CND,7.76
Male,B.Tech,CND,8.56
Female,B.Tech,CHD,7.52
Female,MS,CHD,8.19
Male,B.Tech,CHD,6.55
Male,B.Tech,ECE,6.34
Male,B.Tech,CSE,7.97
Male,PhD,ECE,8.78
Male,B.Tech,CND,5.92
Male,MS,ECE,8.51
Male,MS,CND,8.46
Male,B.Tech,CSE,5.89
Male,B.Tech,CSE,7.54
Male,MS,ECE,7.27
Male,B.Tech,CSE,4.57
Male,PhD,CSE,8.22
Male,B.Tech,CSE,7.26
Female,B.Tech,CHD,6.88
Male,MS,CSE,10.0
Female,MS,CSE,8.27
Female,PhD,CSE,8.37
Male,B.Tech,ECE,7.43
Male,PhD,CHD,8.08
Male,MS,CHD,8.65
Male,MS,ECE,8.25
Female,B.Tech,CSE,7.32
Male,B.Tech,ECE,6.38
Male,PhD,CND,7.52
Male,B.Tech,CSE,6.5
Male,B.Tech,ECE,7.28
Male,B.Tech,CSE,6.56
Male,B.Tech,CSE,7.29
Male,B.Tech,ECE,6.77
Other,B.Tech,ECE,7.43
Male,MS,CSE,7.32
Male,B.Tech,CSE,7.19
Male,B.Tech,CND,6.36
Male,B.Tech,CHD,5.46
Male,B.Tech,CHD,6.83
Male,B.Tech,ECE,8.54
Male,MS,CHD,6.98
Male,B.Tech,CSE,7.12
Male,PhD,CSE,8.7
Female,B.Tech,ECE,9.3
Male,B.Tech,ECE,6.51
Male,B.Tech,CSE,6.37
Male,B.Tech,CHD,5.83
Other,MS,CSE,8.8
Male,MS,ECE,7.39
Male,B.Tech,CSE,6.63
Female,B.Tech,ECE,5.15
Female,B.Tech,CSE,7.88
Female,B.Tech,CSE,8.16
Male,PhD,ECE,8.72
Male,B.Tech,ECE,5.39
Female,MS,ECE,8.43
Female,B.Tech,CSE,5.33
Male,B.Tech,ECE,7.06
Male,B.Tech,ECE,7.21
Male,B.Tech,CSE,7.31
Female,MS,CND,8.37
Male,B.Tech,ECE,6.99
Male,MS,ECE,6.63
Male,B.Tech,CND,7.54
Male,PhD,CND,8.35
Male,B.Tech,CND,6.1
Male,MS,CHD,6.9
Male,MS,ECE,9.08
Male,PhD,ECE,8.92
Male,B.Tech,ECE,7.71
Male,MS,CND,7.53
Male,B.Tech,ECE,4.48
Male,B.Tech,CHD,7.76
Male,B.Tech,CSE,7.37
Male,B.Tech,ECE,6.63
Male,PhD,CND,8.86
Male,B.Tech,ECE,7.85
Other,B.Tech,CND,7.18
Male,B.Tech,ECE,7.04
Female,B.Tech,ECE,7.05
Male,B.Tech,ECE,7.68
Female,B.Tech,CND,6.14
Female,B.Tech,ECE,7.43
Male,B.Tech,CSE,6.08
Male,PhD,ECE,8.97
Male,MS,ECE,8.37
Male,PhD,CSE,7.96
Female,B.Tech,ECE,7.08
Female,B.Tech,CSE,6.15
Female,B.Tech,ECE,8.5
Male,B.Tech,CHD,8.62
Female,B.Tech,ECE,7.7
Female,B.Tech,CHD,8.56
Male,B.Tech,CSE,7.15
Male,B.Tech,CND,7.76
Female,MS,CSE,8.86
Male,B.Tech,CSE,6.99
Female,B.Tech,CHD,7.07
Male,B.Tech,ECE,7.93
Female,B.Tech,CSE,7.65
Male,B.Tech,CND,6.24
Male,B.Tech,ECE,4.81
Male,B.Tech,CND,6.82
Female,MS,ECE,6.53
Female,MS,ECE,7.31
Male,B.Tech,ECE,6.13
Male,B.Tech,CSE,6.43
Female,B.Tech,ECE,7.82
Male,MS,ECE,8.73
Female,B.Tech,CSE,7.51
Male,B.Tech,CSE,7.63
Male,B.Tech,CSE,7.66
Male,B.Tech,CHD,4.5
Male,MS,ECE,8.01
Female,B.Tech,ECE,5.2
Male,B.Tech,CND,7.51
Male,B.Tech,ECE,4.91
Female,B.Tech,CND,6.82
Male,MS,ECE,8.38
Male,MS,CSE,7.22
Female,B.Tech,ECE,7.96
Male,B.Tech,ECE,7.51
Male,B.Tech,CHD,7.38
Female,B.Tech,ECE,7.7
Male,B.Tech,CSE,6.64
Male,B.Tech,ECE,7.15
Male,B.Tech,ECE,7.01
Female,B.Tech,CSE,6.99
Male,B.Tech,ECE,6.33
Male,MS,CND,7.13
Female,B.Tech,CHD,6.66
Female,MS,ECE,7.73
Male,B.Tech,CSE,6.26
Male,B.Tech,CSE,7.85
Male,MS,ECE,7.18
Female,B.Tech,ECE,6.83
Male,MS,ECE,8.82
Male,B.Tech,CSE,7.91
Female,B.Tech,CND,8.22
Female,B.Tech,CHD,6.41
Male,B.Tech,ECE,7.78
Female,B.Tech,CSE,5.94
Male,B.Tech,CSE,6.72
Female,B.Tech,CSE,6.82
Male,B.Tech,ECE,6.42
Male,B.Tech,CSE,6.64
Female,B.Tech,CHD,6.51
Male,B.Tech,CND,6.02
Male,B.Tech,CSE,7.86
Female,MS,ECE,7.87
Female,MS,CHD,8.14
Male,B.Tech,CND,7.16
Female,PhD,CND,8.33
Male,B.Tech,CSE,7.09
Male,PhD,CSE,8.15
Male,MS,CHD,8.99
Male,MS,CHD,8.53
Female,B.Tech,CSE,7.02
Male,B.Tech,ECE,6.55
Male,B.Tech,ECE,6.88
Male,MS,CSE,8.29
Female,B.Tech,CHD,8.5
Male,MS,CSE,7.04
Male,B.Tech,ECE,7.66
Male,MS,CHD,8.79
Male,B.Tech,CSE,5.51
Male,B.Tech,ECE,6.82
Female,B.Tech,ECE,5.94
Female,B.Tech,CND,7.43
Male,B.Tech,CSE,6.64
Female,MS,CHD,7.91
Female,B.Tech,ECE,6.59
Female,B.Tech,ECE,7.72
Male,MS,CND,8.16
Male,B.Tech,CSE,7.23
Male,PhD,ECE,8.38
Male,PhD,CHD,8.59
Female,B.Tech,CSE,6.74
Female,B.Tech,CND,8.7
Female,B.Tech,ECE,5.77
Male,MS,ECE,6.79
Male,B.Tech,CHD,5.19
Other,B.Tech,ECE,4.92
Female,MS,ECE,8.47
Male,B.Tech,CSE,7.55
Female,MS,ECE,8.85
Female,MS,CSE,7.26
Male,B.Tech,ECE,7.75
Male,MS,ECE,8.04
Male,MS,ECE,8.12
Male,B.Tech,ECE,7.63
Male,B.Tech,CSE,6.24
Female,B.Tech,CND,9.59
Male,B.Tech,CSE,8.33
Male,PhD,CND,8.03
Male,B.Tech,ECE,5.91
Male,B.Tech,ECE,6.91
Female,B.Tech,CSE,7.18
Male,B.Tech,CND,8.07
Male,PhD,ECE,7.72
Female,MS,ECE,8.2
Male,B.Tech,CND,5.47
Male,B.Tech,CHD,7.44
Male,B.Tech,ECE,6.89
Male,B.Tech,CND,8.94
Male,B.Tech,ECE,5.45
Male,B.Tech,CSE,8.37
Male,PhD,ECE,7.45
Female,B.Tech,CSE,5.67
Male,MS,ECE,6.83
Male,B.Tech,ECE,7.25
Male,B.Tech,ECE,5.83
Male,MS,CSE,7.06
Female,B.Tech,CHD,7.2
Male,MS,CSE,8.32
Female,B.Tech,CND,7.04
Male,B.Tech,CND,6.84
Male,MS,CND,9.28
Male,B.Tech,CHD,7.15
Other,MS,CSE,8.56
Male,PhD,CHD,8.37
Male,B.Tech,CSE,5.9
Male,B.Tech,CSE,7.55
Female,B.Tech,ECE,6.34
Male,B.Tech,CSE,6.91
Female,MS,CND,8.21
Male,B.Tech,CND,5.06
Male,B.Tech,CSE,5.39
Male,MS,ECE,8.64
Male,B.Tech,ECE,6.34
Male,MS,CND,7.57
Male,B.Tech,ECE,7.17
Female,PhD,ECE,8.11
Male,B.Tech,ECE,7.42
Male,B.Tech,ECE,6.95
Male,B.Tech,CND,7.2
Male,B.Tech,CSE,6.3
Male,PhD,CSE,8.4
Male,B.Tech,CHD,8.11
Male,MS,CND,7.6
Female,B.Tech,CHD,7.92
Female,B.Tech,ECE,6.95
Male,B.Tech,ECE,7.73
Male,B.Tech,ECE,7.13
